AptamerId,SeqId,Type,Target,SomaId,TargetFullName,UniProt,IsIn1310Panel,IsIn1129Panel,note,PlasmaDilution,SerumDilution
4209-60,4209-60_2,Protein,DRG-1,SL004757,Vacuolar protein sorting-associated protein VTA1 homolog,Q9NP79,1,1,common,40,1
2760-2,2760-2_2,Protein,DRR1,SL004752,Protein FAM107A,O95990,1,1,common,40,40
4981-6,4981-6_1,Protein,DSC3,SL008709,Desmocollin-3,Q14574,1,1,common,40,40
3480-7,3480-7_1,Protein,DUS3,SL008122,Dual specificity protein phosphatase 3,P51452,1,1,common,40,40
4359-87,4359-87_1,Protein,DYRK3,SL013570,Dual specificity tyrosine-phosphorylation-regulated kinase 3,O43781,1,1,common,40,1
5070-76,5070-76_3,Protein,DcR3,SL003739,Tumor necrosis factor receptor superfamily member 6B,O95407,1,1,common,40,40
2976-58,2976-58_2,Protein,Desmoglein-1,SL004856,Desmoglein-1,Q02413,1,1,common,40,1
5071-3,5071-3_3,Protein,Desmoglein-2,SL004857,Desmoglein-2,Q14126,1,1,common,0.005,0.005
3365-7,3365-7_2,Protein,Dkk-4,SL010612,Dickkopf-related protein 4,Q9UBT3,1,1,common,40,1
4545-53,4545-53_3,Protein,DnaJ homolog,SL006197,Mitochondrial import inner membrane translocase subunit TIM14,Q96DA6,1,1,common,40,40
2611-72,2611-72_2,Protein,Dtk,SL004136,Tyrosine-protein kinase receptor TYRO3,Q06418,1,1,common,40,40
3366-51,3366-51_2,Protein,ECM1,SL006550,Extracellular matrix protein 1,Q16610,1,1,common,0.005,0.005
2826-53,2826-53_2,Protein,EDA,SL004644,"Ectodysplasin-A, secreted form",Q92838,1,1,common,40,40
2977-7,2977-7_2,Protein,EDAR,SL004872,Tumor necrosis factor receptor superfamily member EDAR,Q9UNE0,1,1,common,40,40
2247-20,2247-20_11,Protein,EG-VEGF,SL004332,Prokineticin-1,P58294,1,1,common,40,40
2714-78,2714-78_2,Protein,EMAP-2,SL003334,Endothelial monocyte-activating polypeptide 2,Q12904,1,1,common,40,1
4546-27,4546-27_3,Protein,EMR2,SL008822,Adhesion G protein-coupled receptor E2,Q9UHX3,1,1,common,1,1
2979-8,2979-8_2,Protein,ENA-78,SL003169,C-X-C motif chemokine 5,P42830,1,1,common,40,40
4435-66,4435-66_2,Protein,ENPP7,SL009045,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Q6UWV6,1,1,common,40,40
4436-1,4436-1_2,Protein,ENTP3,SL014093,Ectonucleoside triphosphate diphosphohydrolase 3,O75355,1,1,common,40,40
4437-56,4437-56_3,Protein,ENTP5,SL014028,Ectonucleoside triphosphate diphosphohydrolase 5,O75356,1,1,common,1,1
4212-5,4212-5_3,Protein,EP15R,SL012188,Epidermal growth factor receptor substrate 15-like 1,Q9UBC2,1,1,common,40,40
3432-21,3432-21_2,Protein,EPHA3,SL010498,Ephrin type-A receptor 3,P29320,1,1,common,40,40
5076-53,5076-53_2,Protein,EPHAA,SL014294,Ephrin type-A receptor 10,Q5JZY3,1,1,common,40,40
5077-28,5077-28_3,Protein,EPHB2,SL007179,Ephrin type-B receptor 2,P29323,1,1,common,40,1
4956-2,4956-2_1,Protein,EPI,SL000139,Epiregulin,O14944,1,1,common,40,40
2715-25,2715-25_2,Protein,EPO-R,SL005159,Erythropoietin receptor,P19235,1,1,common,40,40
2945-25,2945-25_1,Protein,ER,SL000007,Estrogen receptor,P03372,1,1,common,40,40
4217-49,4217-49_3,Protein,ERAB,SL004795,3-hydroxyacyl-CoA dehydrogenase type-2,Q99714,1,1,common,40,40
2677-1,2677-1_1,Protein,ERBB1,SL002644,Epidermal growth factor receptor,P00533,1,1,common,1,1
2616-23,2616-23_18,Protein,ERBB2,SL000009,Receptor tyrosine-protein kinase erbB-2,P04626,1,1,common,40,40
2617-56,2617-56_35,Protein,ERBB3,SL002519,Receptor tyrosine-protein kinase erbB-3,P21860,1,1,common,1,1
2618-10,2618-10_2,Protein,ERBB4,SL003803,Receptor tyrosine-protein kinase erbB-4,Q15303,1,1,common,40,40
2855-49,2855-49_2,Protein,ERK-1,SL000409,Mitogen-activated protein kinase 3,P27361,1,1,common,40,1
4983-6,4983-6_1,Protein,ERP29,SL003522,Endoplasmic reticulum resident protein 29,P30040,1,1,common,0.005,0.005
2981-9,2981-9_3,Protein,ESAM,SL005160,Endothelial cell-selective adhesion molecule,Q96AP7,1,1,common,1,1
3847-56,3847-56_2,Protein,ETHE1,SL011532,"Persulfide dioxygenase ETHE1, mitochondrial",O95571,1,1,common,40,1
4982-54,4982-54_1,Protein,Elafin,SL004458,Elafin,P19957,1,1,common,1,1
5308-89,5308-89_2,Protein,Elastase,SL000401,Neutrophil elastase,P08246,1,1,common,40,1
3805-16,3805-16_2,Protein,Endocan,SL010458,Endothelial cell-specific molecule 1,Q9NQ30,1,1,common,1,1
4908-6,4908-6_1,Protein,Endoglin,SL004482,Endoglin,P17813,1,1,common,40,40
2201-17,2201-17_6,Protein,Endostatin,SL000403,Endostatin,P39060,1,1,common,1,1
3611-70,3611-70_4,Protein,Endothelin-converting enzyme 1,SL004060,Endothelin-converting enzyme 1,P42892,1,1,common,1,1
3189-61,3189-61_2,Protein,Enterokinase,SL010372,Enteropeptidase,P98073,1,1,common,40,40
5301-7,5301-7_3,Protein,Eotaxin,SL000406,Eotaxin,P51671,1,1,common,40,1
4128-27,4128-27_2,Protein,Eotaxin-2,SL003104,C-C motif chemokine 24,O00175,1,1,common,40,40
3431-54,3431-54_2,Protein,EphA1,SL004137,Ephrin type-A receptor 1,P21709,1,1,common,40,1
3806-55,3806-55_1,Protein,EphA5,SL004844,Ephrin type-A receptor 5,P54756,1,1,common,40,40
3612-6,3612-6_4,Protein,EphB4,SL004845,Ephrin type-B receptor 4,P54760,1,1,common,1,1
5078-82,5078-82_3,Protein,EphB6,SL008414,Ephrin type-B receptor 6,O15197,1,1,common,1,1
2614-28,2614-28_2,Protein,Ephrin-A4,SL004140,Ephrin-A4,P52798,1,1,common,40,40
2615-60,2615-60_2,Protein,Ephrin-A5,SL004141,Ephrin-A5,P52803,1,1,common,40,40
2514-65,2514-65_3,Protein,Ephrin-B3,SL004142,Ephrin-B3,Q15768,1,1,common,40,40
4834-61,4834-61_2,Protein,Epithelial cell kinase,SL002654,Ephrin type-A receptor 2,P29317,1,1,common,40,40
4984-83,4984-83_1,Protein,Esterase D,SL006378,S-formylglutathione hydrolase,P10768,1,1,common,40,1
4985-11,4985-11_1,Protein,FABPE,SL005352,"Fatty acid-binding protein, epidermal",Q01469,1,1,common,40,1
4986-59,4986-59_1,Protein,FAK1,SL012248,Focal adhesion kinase 1,Q05397,1,1,common,40,40
4774-62,4774-62_3,Protein,FAM107B,SL016129,Protein FAM107B,Q9H098,1,1,common,40,40
4987-17,4987-17_1,Protein,FCAR,SL010373,Immunoglobulin alpha Fc receptor,P24071,1,1,common,40,40
3311-27,3311-27_1,Protein,FCG3B,SL008609,Low affinity immunoglobulin gamma Fc region receptor III-B,O75015,1,1,common,0.005,0.005
3312-64,3312-64_1,Protein,FCGR1,SL010461,High affinity immunoglobulin gamma Fc receptor I,P12314,1,1,common,40,40
3613-62,3613-62_5,Protein,FCN1,SL010462,Ficolin-1,O00602,1,1,common,40,1
3313-21,3313-21_2,Protein,FCN2,SL006542,Ficolin-2,Q15485,1,1,common,1,1
4440-15,4440-15_2,Protein,FCRL3,SL014088,Fc receptor-like protein 3,Q96P31,1,1,common,40,40
4220-39,4220-39_2,Protein,FER,SL005588,Tyrosine-protein kinase Fer,P16591,1,1,common,40,40
3367-8,3367-8_3,Protein,FETUB,SL006777,Fetuin-B,Q9UGM5,1,1,common,0.005,0.005
2441-2,2441-2_4,Protein,FGF-10,SL004333,Fibroblast growth factor 10,O15520,1,1,common,40,40
4392-54,4392-54_2,Protein,FGF-12,SL005161,Fibroblast growth factor 12,P61328,1,1,common,40,40
4393-3,4393-3_1,Protein,FGF-16,SL004334,Fibroblast growth factor 16,O43320,1,1,common,40,40
3494-71,3494-71_3,Protein,FGF-17,SL004335,Fibroblast growth factor 17,O60258,1,1,common,40,40
2761-49,2761-49_2,Protein,FGF-18,SL004336,Fibroblast growth factor 18,O76093,1,1,common,40,40
2762-30,2762-30_2,Protein,FGF-19,SL004337,Fibroblast growth factor 19,O95750,1,1,common,40,1
2763-66,2763-66_2,Protein,FGF-20,SL004338,Fibroblast growth factor 20,Q9NP95,1,1,common,40,40
4123-60,4123-60_2,Protein,FGF-4,SL003171,Fibroblast growth factor 4,P08620,1,1,common,40,40
3065-65,3065-65_1,Protein,FGF-5,SL004339,Fibroblast growth factor 5,P12034,1,1,common,40,40
4130-71,4130-71_1,Protein,FGF-6,SL004340,Fibroblast growth factor 6,P10767,1,1,common,40,40
4394-71,4394-71_2,Protein,FGF-8A,SL014308,Fibroblast growth factor 8 isoform A,P55075,1,1,common,40,40
2443-10,2443-10_4,Protein,FGF-8B,SL004342,Fibroblast growth factor 8 isoform B,P55075,1,1,common,40,40
3807-1,3807-1_2,Protein,FGF23,SL007651,Fibroblast growth factor 23,Q9GZV9,1,1,common,40,40
4487-1,4487-1_1,Protein,FGF7,SL001691,Fibroblast growth factor 7,P21781,1,1,common,40,40
2764-20,2764-20_2,Protein,FGF9,SL003849,Fibroblast growth factor 9,P31371,1,1,common,40,40
3808-76,3808-76_2,Protein,FGFR-2,SL003990,Fibroblast growth factor receptor 2,P21802,1,1,common,40,40
3809-1,3809-1_2,Protein,FGFR-3,SL004063,Fibroblast growth factor receptor 3,P22607,1,1,common,40,40
4988-49,4988-49_2,Protein,FGFR4,SL002036,Fibroblast growth factor receptor 4,P22455,1,1,common,40,1
3810-50,3810-50_2,Protein,FGR,SL006912,Tyrosine-protein kinase Fgr,P09769,1,1,common,40,40
4547-59,4547-59_2,Protein,FLRT1,SL014071,Leucine-rich repeat transmembrane protein FLRT1,Q9NZU1,1,1,common,40,40
3434-34,3434-34_1,Protein,FN1.3,SL010349,Fibronectin Fragment 3,P02751,1,1,common,0.005,0.005
3435-53,3435-53_2,Protein,FN1.4,SL010348,Fibronectin Fragment 4,P02751,1,1,common,1,0.005
3032-11,3032-11_2,Protein,FSH,SL000428,Follicle stimulating hormone,"P01215,  P01225",1,1,common,1,1
4132-27,4132-27_2,Protein,FST,SL000674,Follistatin,P19883,1,1,common,40,40
3438-10,3438-10_2,Protein,FSTL3,SL009324,Follistatin-related protein 3,O95633,1,1,common,1,1
4549-78,4549-78_2,Protein,FUT5,SL014008,"Alpha-(1,3)-fucosyltransferase 5",Q11128,1,1,common,40,40
3813-3,3813-3_2,Protein,FYN,SL006913,Tyrosine-protein kinase Fyn,P06241,1,1,common,40,40
4129-72,4129-72_1,Protein,Factor B,SL000414,Complement factor B,P00751,1,1,common,0.005,0.005
2946-52,2946-52_2,Protein,Factor D,SL003327,Complement factor D,P00746,1,1,common,0.005,0.005
4159-130,4159-130_1,Protein,Factor H,SL000415,Complement factor H,P08603,1,1,common,0.005,0.005
2567-5,2567-5_6,Protein,Factor I,SL003328,Complement factor I,P05156,1,1,common,0.005,0.005
3052-8,3052-8_2,Protein,"Fas ligand, soluble",SL000633,"Tumor necrosis factor ligand superfamily member 6, soluble form",P48023,1,1,common,40,40
2796-62,2796-62_2,Protein,Fibrinogen,SL000424,Fibrinogen,P02671 P02675 P02679,1,1,common,0.005,1
4989-7,4989-7_1,Protein,Fibrinogen g-chain dimer,SL003341,Fibrinogen gamma chain,P02679,1,1,common,0.005,1
4131-72,4131-72_2,Protein,Fibronectin,SL000426,Fibronectin,P02751,1,1,common,0.005,0.005
3437-80,3437-80_3,Protein,Flt-3,SL004636,Receptor-type tyrosine-protein kinase FLT3,P36888,1,1,common,40,1
3053-49,3053-49_2,Protein,Flt3 ligand,SL004343,Fms-related tyrosine kinase 3 ligand,P49771,1,1,common,40,40
2827-23,2827-23_2,Protein,Fractalkine/CX3CL-1,SL000427,Fractalkine,P78423,1,1,common,40,40
4548-4,4548-4_2,Protein,Fucosyltransferase 3,SL005575,Galactoside 3(4)-L-fucosyltransferase,P21217,1,1,common,40,40
4840-73,4840-73_1,Protein,G-CSF,SL001729,Granulocyte colony-stimulating factor,P09919,1,1,common,40,40
2719-3,2719-3_4,Protein,G-CSF-R,SL004591,Granulocyte colony-stimulating factor receptor,Q99062,1,1,common,40,40
2619-72,2619-72_2,Protein,GA733-1 protein,SL001890,Tumor-associated calcium signal transducer 2,P09758,1,1,common,40,40
3848-14,3848-14_2,Protein,"GAPDH, liver",SL003785,Glyceraldehyde-3-phosphate dehydrogenase,P04406,1,1,common,1,1
5223-59,5223-59_3,Protein,GCKR,SL015728,Glucokinase regulatory protein,Q14397,1,1,common,40,40
3495-15,3495-15_2,Protein,GCP-2,SL003172,C-X-C motif chemokine 6,P80162,1,1,common,40,40
3067-67,3067-67_1,Protein,GDF-9,SL005234,Growth/differentiation factor 9,O60383,1,1,common,40,40
4880-21,4880-21_1,Protein,GDF2,SL007756,Growth/differentiation factor 2,Q9UK05,1,1,common,40,40
3034-1,3034-1_2,Protein,GFAP,SL004271,Glial fibrillary acidic protein,P14136,1,1,common,40,40
3314-74,3314-74_2,Protein,GFRa-1,SL004858,GDNF family receptor alpha-1,P56159,1,1,common,40,40
2515-14,2515-14_3,Protein,GFRa-2,SL004143,GDNF family receptor alpha-2,O00451,1,1,common,1,1
2505-49,2505-49_3,Protein,GFRa-3,SL004144,GDNF family receptor alpha-3,O60609,1,1,common,40,40
5280-68,5280-68_5,Protein,GHC2,SL016563,Mitochondrial glutamate carrier 2,Q9H1K4,1,1,common,40,40
4910-21,4910-21_1,Protein,GIB,SL004064,Phospholipase A2,P04054,1,1,common,40,40
2447-7,2447-7_4,Protein,GIIE,SL004066,Group IIE secretory phospholipase A2,Q9NZK7,1,1,common,40,40
4697-59,4697-59_2,Protein,GM-CSF,SL001726,Granulocyte-macrophage colony-stimulating factor,P04141,1,1,common,40,40
3616-3,3616-3_5,Protein,GNS,SL008504,N-acetylglucosamine-6-sulfatase,P15586,1,1,common,40,40
4912-17,4912-17_1,Protein,GOT1,SL000280,"Aspartate aminotransferase, cytoplasmic",P17174,1,1,common,40,1
4551-72,4551-72_3,Protein,GP114,SL014094,Adhesion G-protein coupled receptor G5,Q8IZF4,1,1,common,40,40
4990-87,4990-87_1,Protein,GP1BA,SL006460,Platelet glycoprotein Ib alpha chain,P07359,1,1,common,1,1
3315-15,3315-15_1,Protein,GPC2,SL010463,Glypican-2,Q8N158,1,1,common,40,40
4991-12,4991-12_1,Protein,GPC5,SL012469,Glypican-5,P78333,1,1,common,40,40
5080-131,5080-131_3,Protein,GPNMB,SL007429,Transmembrane glycoprotein NMB,Q14956,1,1,common,1,1
3194-36,3194-36_2,Protein,GPVI,SL008759,Platelet glycoprotein VI,Q9HCN6,1,1,common,1,1
5265-12,5265-12_3,Protein,GRB2-related adapter protein 2,SL005725,GRB2-related adapter protein 2,O75791,1,1,common,40,40
4449-67,4449-67_3,Protein,GREM1,SL007024,Gremlin-1,O60565,1,1,common,40,40
4992-49,4992-49_1,Protein,GRN,SL007173,Granulins,P28799,1,1,common,1,1
3441-64,3441-64_2,Protein,GSK-3 alpha/beta,SL017188,Glycogen synthase kinase-3 alpha/beta,P49840 P49841,1,1,common,40,40
4993-16,4993-16_1,Protein,GSTA3,SL000670,Glutathione S-transferase A3,Q16772,1,1,common,40,40
2449-1,2449-1_4,Protein,GV,SL004182,Calcium-dependent phospholipase A2,P39877,1,1,common,40,40
2949-6,2949-6_2,Protein,GX,SL004067,Group 10 secretory phospholipase A2,O15496,1,1,common,40,40
3033-57,3033-57_1,Protein,Galectin-2,SL005164,Galectin-2,P05162,1,1,common,40,40
3066-12,3066-12_1,Protein,Galectin-3,SL003744,Galectin-3,P17931,1,1,common,1,1
2982-82,2982-82_2,Protein,Galectin-4,SL005165,Galectin-4,P56470,1,1,common,40,40
4909-68,4909-68_1,Protein,Galectin-8,SL005167,Galectin-8,O00214,1,1,common,40,40
4775-34,4775-34_3,Protein,Gelsolin,SL005572,Gelsolin,P06396,1,1,common,0.005,0.005
4891-50,4891-50_1,Protein,Glucagon,SL000433,Glucagon,P01275,1,1,common,40,40
2857-70,2857-70_2,Protein,Glucocorticoid receptor,SL006914,Glucocorticoid receptor,P04150,1,1,common,1,1
3192-3,3192-3_2,Protein,Glutamate carboxypeptidase,SL002695,Cytosolic non-specific dipeptidase,Q96KP4,1,1,common,40,40
4911-49,4911-49_2,Protein,Glutathione S-transferase Pi,SL003643,Glutathione S-transferase P,P09211,1,1,common,40,1
4842-62,4842-62_2,Protein,Glypican 3,SL000070,Glypican-3,P51654,1,1,common,40,40
3195-50,3195-50_2,Protein,Granulysin,SL000678,Granulysin,P22749,1,1,common,1,1
4133-54,4133-54_2,Protein,Granzyme B,SL004068,Granzyme B,P10144,1,1,common,40,40
3373-5,3373-5_2,Protein,Granzyme H,SL004654,Granzyme H,P20718,1,1,common,40,40
2985-35,2985-35_1,Protein,Gro-a,SL003173,Growth-regulated alpha protein,P09341,1,1,common,40,1
2986-49,2986-49_2,Protein,Gro-b/g,SL017610,Gro-beta/gamma,P19876 P19875,1,1,common,1,1
2948-58,2948-58_2,Protein,Growth hormone receptor,SL005168,Growth hormone receptor,P10912,1,1,common,1,1
2828-82,2828-82_2,Protein,HAI-1,SL004645,Kunitz-type protease inhibitor 1,O43278,1,1,common,40,40
4134-4,4134-4_2,Protein,HB-EGF,SL000138,Heparin-binding EGF-like growth factor,Q99075,1,1,common,40,40
2900-53,2900-53_3,Protein,HCC-1,SL003329,C-C motif chemokine 14,Q16627,1,1,common,1,1
4913-78,4913-78_1,Protein,HCC-4,SL003300,C-C motif chemokine 16,O15467,1,1,common,1,1
4914-10,4914-10_1,Protein,HCG,SL001766,Human Chorionic Gonadotropin,"P01215,P01233",1,1,common,40,40
3374-49,3374-49_2,Protein,HCK,SL010499,Tyrosine-protein kinase HCK,P08631,1,1,common,40,40
2859-69,2859-69_2,Protein,HDAC8,SL004723,Histone deacetylase 8,Q9BY41,1,1,common,40,1
4553-65,4553-65_3,Protein,HDGR2,SL014009,Hepatoma-derived growth factor-related protein 2,Q7Z4V5,1,1,common,40,40
2681-23,2681-23_2,Protein,HGF,SL000441,Hepatocyte growth factor,P14210,1,1,common,40,40
3617-80,3617-80_4,Protein,HGFA,SL006512,Hepatocyte growth factor activator,Q04756,1,1,common,0.005,0.005
3443-61,3443-61_2,Protein,HIPK3,SL010523,Homeodomain-interacting protein kinase 3,Q9H422,1,1,common,40,40
2769-3,2769-3_2,Protein,HIV-2 Rev,SL000445,Protein Rev_HV2BE,P18093,1,1,common,40,40
2524-56,2524-56_3,Protein,HMG-1,SL003280,High mobility group protein B1,P09429,1,1,common,40,1
5230-99,5230-99_3,Protein,HMGR,SL016557,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,1,1,common,40,40
4224-7,4224-7_2,Protein,HNRPQ,SL007022,Heterogeneous nuclear ribonucleoprotein Q,O60506,1,1,common,40,40
2622-18,2622-18_1,Protein,HO-2,SL004751,Heme oxygenase 2,P30519,1,1,common,40,40
4995-16,4995-16_1,Protein,HPG-,SL003930,15-hydroxyprostaglandin dehydrogenase [NAD(+)],P15428,1,1,common,1,1
3196-6,3196-6_2,Protein,HPLN1,SL008023,Hyaluronan and proteoglycan link protein 1,P10915,1,1,common,40,40
2623-54,2623-54_4,Protein,HPV E7 Type 16,SL004697,Protein E7_HPV16,P03129,1,1,common,40,40
2624-31,2624-31_2,Protein,HPV E7 Type18,SL004698,Protein E7_HPV18,P06788,1,1,common,40,40
4996-66,4996-66_1,Protein,HRG,SL006448,Histidine-rich glycoprotein,P04196,1,1,common,0.005,0.005
3852-19,3852-19_2,Protein,HSP 40,SL000449,DnaJ homolog subfamily B member 1,P25685,1,1,common,40,40
2682-68,2682-68_1,Protein,HSP 60,SL000450,"60 kDa heat shock protein, mitochondrial",P10809,1,1,common,40,1
4124-24,4124-24_2,Protein,HSP 70,SL000451,Heat shock 70 kDa protein 1A,P0DMV8,1,1,common,40,40
2625-53,2625-53_4,Protein,HSP 90a/b,SL017612,Heat shock protein HSP 90-alpha/beta,P07900 P08238,1,1,common,1,1
3317-33,3317-33_1,Protein,HTRA2,SL004860,"Serine protease HTRA2, mitochondrial",O43464,1,1,common,40,40
5352-11,5352-11_3,Protein,HVEM,SL004145,Tumor necrosis factor receptor superfamily member 14,Q92956,1,1,common,40,40
3054-3,3054-3_2,Protein,"Haptoglobin, Mixed Type",SL000437,Haptoglobin,P00738,1,1,common,0.005,0.005
2858-29,2858-29_2,Protein,Hat1,SL004725,Histone acetyltransferase type B catalytic subunit,O14929,1,1,common,40,40
4915-64,4915-64_2,Protein,Hemoglobin,SL000836,Hemoglobin,"P69905, P68871",1,1,common,1,1
2768-56,2768-56_2,Protein,Hemopexin,SL000440,Hemopexin,P02790,1,1,common,0.005,0.005
3316-58,3316-58_1,Protein,Heparin cofactor II,SL004466,Heparin cofactor 2,P05546,1,1,common,0.005,0.005
2987-37,2987-37_3,Protein,Histone H1.2,SL005256,Histone H1.2,P16403,1,1,common,40,40
4163-5,4163-5_2,Protein,Histone H2A.z,SL002093,Histone H2A.z,P0C0S5,1,1,common,40,40
2770-51,2770-51_2,Protein,I-309,SL003176,C-C motif chemokine 1,P22362,1,1,common,40,1
3038-9,3038-9_2,Protein,I-TAC,SL003326,C-X-C motif chemokine 11,O14625,1,1,common,40,40
2988-57,2988-57_2,Protein,ICOS,SL005170,Inducible T-cell costimulator,Q9Y6W8,1,1,common,40,40
3197-70,3197-70_2,Protein,IDE,SL007122,Insulin-degrading enzyme,P14735,1,1,common,40,40
3198-4,3198-4_1,Protein,IDS,SL008639,Iduronate 2-sulfatase,P22304,1,1,common,40,1
3169-70,3169-70_2,Protein,IDUA,SL010368,Alpha-L-iduronidase,P35475,1,1,common,1,1
4997-19,4997-19_1,Protein,IF4A3,SL011616,Eukaryotic initiation factor 4A-III,P38919,1,1,common,40,40
4230-1,4230-1_2,Protein,IF4G2,SL011211,Eukaryotic translation initiation factor 4 gamma 2,P78344,1,1,common,40,40
3497-13,3497-13_2,Protein,IFN-aA,SL002075,Interferon alpha-2,P01563,1,1,common,40,40
4396-54,4396-54_1,Protein,IFN-lambda 1,SL004348,Interferon lambda-1,Q8IU54,1,1,common,40,40
4397-26,4397-26_2,Protein,IFN-lambda 2,SL004349,Interferon lambda-2,Q8IZJ0,1,1,common,40,40
2952-75,2952-75_2,Protein,IGF-I,SL000047,Insulin-like growth factor I,P05019,1,1,common,0.005,0.005
4232-19,4232-19_2,Protein,IGF-I sR,SL003304,Insulin-like growth factor 1 receptor,P08069,1,1,common,40,40
3676-15,3676-15_3,Protein,IGF-II receptor,SL003679,Cation-independent mannose-6-phosphate receptor,P11717,1,1,common,1,1
2771-35,2771-35_2,Protein,IGFBP-1,SL000462,Insulin-like growth factor-binding protein 1,P08833,1,1,common,1,1
2571-12,2571-12_3,Protein,IGFBP-3,SL000045,Insulin-like growth factor-binding protein 3,P17936,1,1,common,0.005,0.005
2950-57,2950-57_2,Protein,IGFBP-4,SL005171,Insulin-like growth factor-binding protein 4,P22692,1,1,common,0.005,0.005
2685-21,2685-21_2,Protein,IGFBP-5,SL004676,Insulin-like growth factor-binding protein 5,P24593,1,1,common,0.005,0.005
2686-67,2686-67_2,Protein,IGFBP-6,SL005172,Insulin-like growth factor-binding protein 6,P24592,1,1,common,0.005,0.005
3320-49,3320-49_2,Protein,IGFBP-7,SL005087,Insulin-like growth factor-binding protein 7,Q16270,1,1,common,1,1
2630-12,2630-12_2,Protein,IL-1 R AcP,SL004588,Interleukin-1 Receptor accessory protein,Q9NPH3,1,1,common,1,1
4234-8,4234-8_2,Protein,IL-1 R4,SL004146,Interleukin-1 receptor-like 1,Q01638,1,1,common,1,1
5082-51,5082-51_3,Protein,IL-1 sR9,SL004849,X-linked interleukin-1 receptor accessory protein-like 2,Q9NP60,1,1,common,40,1
2991-9,2991-9_2,Protein,IL-1 sRI,SL001997,Interleukin-1 receptor type 1,P14778,1,1,common,40,40
2773-50,2773-50_2,Protein,IL-10,SL001717,Interleukin-10,P22301,1,1,common,40,40
2631-50,2631-50_2,Protein,IL-10 Rb,SL004147,Interleukin-10 receptor subunit beta,Q08334,1,1,common,40,40
4493-92,4493-92_1,Protein,IL-11,SL000470,Interleukin-11,P20809,1,1,common,40,40
3815-14,3815-14_1,Protein,IL-12 RB2,SL007620,Interleukin-12 receptor subunit beta-2,Q99665,1,1,common,40,40
2632-5,2632-5_2,Protein,IL-12 Rb1,SL004148,Interleukin-12 receptor subunit beta-1,P42701,1,1,common,40,40
3072-4,3072-4_2,Protein,IL-13,SL001718,Interleukin-13,P35225,1,1,common,40,40
2633-52,2633-52_2,Protein,IL-13 Ra1,SL004149,Interleukin-13 receptor subunit alpha-1,P78552,1,1,common,40,1
3445-53,3445-53_2,Protein,IL-15 Ra,SL004151,Interleukin-15 receptor subunit alpha,Q13261,1,1,common,40,40
2774-10,2774-10_3,Protein,IL-16,SL000474,Interleukin-16,Q14005,1,1,common,1,1
5468-67,5468-67_3,Protein,IL-17 RC,SL011068,Interleukin-17 receptor C,Q8NAC3,1,1,common,40,40
3376-49,3376-49_2,Protein,IL-17 RD,SL010613,Interleukin-17 receptor D,Q8NFM7,1,1,common,40,40
2992-59,2992-59_2,Protein,IL-17 sR,SL004850,Interleukin-17 receptor A,Q96F46,1,1,common,1,1
3499-77,3499-77_2,Protein,IL-17B,SL004350,Interleukin-17B,Q9UHF5,1,1,common,40,40
5084-154,5084-154_3,Protein,IL-17B R,SL005174,Interleukin-17 receptor B,Q9NRM6,1,1,common,40,1
4136-40,4136-40_2,Protein,IL-17D,SL004353,Interleukin-17D,Q8TAD2,1,1,common,40,40
4137-57,4137-57_2,Protein,IL-17E,SL004351,Interleukin-25,Q9H293,1,1,common,40,40
2775-54,2775-54_2,Protein,IL-17F,SL004352,Interleukin-17F,Q96PD4,1,1,common,40,40
3073-51,3073-51_2,Protein,IL-18 BPa,SL002508,Interleukin-18-binding protein,O95998,1,1,common,40,40
3446-7,3446-7_2,Protein,IL-18 Ra,SL004152,Interleukin-18 receptor 1,Q13478,1,1,common,40,1
2993-1,2993-1_2,Protein,IL-18 Rb,SL004861,Interleukin-18 receptor accessory protein,O95256,1,1,common,40,40
3035-80,3035-80_2,Protein,IL-19,SL004354,Interleukin-19,Q9UHD0,1,1,common,1,1
2723-9,2723-9_2,Protein,IL-1F7,SL005178,Interleukin-37,Q9NZH6,1,1,common,40,40
2994-71,2994-71_2,Protein,IL-1Rrp2,SL004875,Interleukin-1 receptor-like 2,Q9HB29,1,1,common,40,40
4851-25,4851-25_1,Protein,IL-1a,SL000125,Interleukin-1 alpha,P01583,1,1,common,40,40
3037-62,3037-62_1,Protein,IL-1b,SL001795,Interleukin-1 beta,P01584,1,1,common,40,1
3070-1,3070-1_2,Protein,IL-2,SL000478,Interleukin-2,P60568,1,1,common,40,40
3151-6,3151-6_1,Protein,IL-2 sRa,SL003305,Interleukin-2 receptor subunit alpha,P01589,1,1,common,40,40
2634-2,2634-2_2,Protein,IL-2 sRg,SL003307,Cytokine receptor common subunit gamma,P31785,1,1,common,40,40
4138-25,4138-25_2,Protein,IL-20,SL004346,Interleukin-20,Q9NYY1,1,1,common,40,40
5085-18,5085-18_3,Protein,IL-20 Ra,SL005181,Interleukin-20 receptor subunit alpha,Q9UHF4,1,1,common,40,40
2778-10,2778-10_2,Protein,IL-22,SL004347,Interleukin-22,Q9GZX6,1,1,common,40,1
5087-5,5087-5_3,Protein,IL-22BP,SL005183,Interleukin-22 receptor subunit alpha-2,Q969J5,1,1,common,40,40
